millis,T_SHT40,RH_SHT40,CO2_SCD30,T_SCD30,RH_SCD30
86148695,21.57,55.29,211.00,25.09,44.85
86178743,21.54,55.47,208.00,25.07,44.88
86208790,21.60,55.42,207.00,25.07,44.97
86238842,21.58,55.41,208.00,25.09,44.99
86268891,21.62,55.36,208.00,25.06,45.02
86298938,21.52,55.59,207.00,25.07,45.07
86328986,21.46,55.88,206.00,25.03,45.13
86359033,21.46,55.83,207.00,25.03,45.11
86389082,21.46,55.86,207.00,25.01,45.12
86419129,21.45,55.89,207.00,25.01,45.14
86449177,21.48,55.92,206.00,24.99,45.20
86479225,21.48,55.86,205.00,24.99,45.22
86509274,21.49,55.77,207.00,24.99,45.19
86539321,21.47,55.87,207.00,24.97,45.20
86569369,21.52,55.78,209.00,25.00,45.21
86599418,21.60,55.69,208.00,25.01,45.30
86629467,21.61,55.75,207.00,24.96,45.32
86659515,21.67,55.59,208.00,24.99,45.33
86689563,21.70,55.63,207.00,25.00,45.37
86719610,21.73,55.47,206.00,24.99,45.34
86749659,21.72,55.49,205.00,25.00,45.32
86779706,21.75,55.47,206.00,25.03,45.38
86809754,21.81,55.51,207.00,25.04,45.39
86839802,21.86,55.29,208.00,25.06,45.33
86869851,21.90,55.26,209.00,25.07,45.39
86899899,22.01,54.92,210.00,25.09,45.37
86929946,22.04,54.93,209.00,25.09,45.35
86959994,22.04,54.93,209.00,25.13,45.34
86990045,22.05,54.95,209.00,25.11,45.31
87020093,21.98,55.04,208.00,25.13,45.36
87050142,22.01,55.13,208.00,25.15,45.32
87080190,21.97,55.14,208.00,25.15,45.28
87110239,21.95,55.27,206.00,25.14,45.35
87140287,21.91,55.22,203.00,25.14,45.36
87170334,21.87,55.47,203.00,25.13,45.39
87200382,21.85,55.53,202.00,25.15,45.38
87230430,21.84,55.48,200.00,25.15,45.38
87260478,21.79,55.64,200.00,25.14,45.38
87290525,21.79,55.70,199.00,25.14,45.42
87320574,21.80,55.68,198.00,25.15,45.36
87350624,21.78,55.74,198.00,25.15,45.40
87380672,21.81,55.70,198.00,25.15,45.43
87410720,21.82,55.67,197.00,25.15,45.42
87440769,21.91,55.51,197.00,25.15,45.46
87470817,21.95,55.46,198.00,25.18,45.45
87500864,21.99,55.40,198.00,25.20,45.44
87530912,22.06,54.95,197.00,25.17,45.45
87560960,22.09,55.15,197.00,25.18,45.40
87591008,22.15,55.02,197.00,25.21,45.45
87621055,22.23,54.80,199.00,25.24,45.44
87651103,22.23,54.87,199.00,25.24,45.43
87681152,22.24,54.76,200.00,25.25,45.38
87711200,22.29,54.74,200.00,25.30,45.45
87741250,22.32,54.87,200.00,25.28,45.39
